artists,track_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Kate Bush,Babooshka,0.466,0.439,5,-8.892,0.0325,0.741,1.64e-05,0.0707,0.289,107.173,alt-rock
Head Like A Hole,Glory Glory,0.526,0.936,1,-3.63,0.0855,0.0392,0.0,0.27,0.34,112.093,alt-rock
The Offspring,Original Prankster,0.664,0.877,2,-4.251,0.0334,0.000542,2.95e-05,0.284,0.961,146.804,alt-rock
Linkin Park,Bleed It Out,0.529,0.967,1,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,alt-rock
Foster The People,Don't Stop (Color on the Walls),0.611,0.948,1,-3.751,0.0753,0.00183,0.0995,0.0969,0.79,133.004,alt-rock
Wilson Pickett,Mustang Sally,0.725,0.327,0,-17.714,0.0387,0.113,0.326,0.214,0.688,110.438,alt-rock
Sting,Englishman In New York,0.674,0.347,9,-17.707,0.0364,0.396,1.05e-05,0.0916,0.647,102.013,alt-rock
AC/DC,Jailbreak,0.572,0.835,9,-5.552,0.079,0.00953,0.0144,0.012,0.591,131.567,alt-rock
The Cardigans,Lovefool,0.64,0.602,9,-7.902,0.0299,0.0646,0.0,0.375,0.951,111.87,alt-rock
Eagles,Lyin' Eyes - 2013 Remaster,0.669,0.673,7,-9.754,0.0248,0.203,0.0271,0.164,0.867,132.68,alt-rock
Metallica,No Leaf Clover - Live,0.246,0.95,3,-5.034,0.107,0.000598,0.00166,0.959,0.359,151.568,alt-rock
Catherine Wheel,Black Metallic,0.245,0.413,9,-11.762,0.0348,0.102,0.027,0.242,0.0872,149.765,alt-rock
Modern English,I Melt with You,0.541,0.81,0,-11.745,0.0367,0.000975,0.00158,0.0681,0.647,155.582,alt-rock
Yes,Starship Trooper: Life Seeker - Single Version,0.32,0.615,9,-9.279,0.0454,0.0134,0.000827,0.16,0.671,166.484,alt-rock
Billy Idol,Flesh For Fantasy - Remastered,0.66,0.751,9,-6.333,0.108,0.131,0.000196,0.11,0.563,94.491,alt-rock
Various Artists,Love Is Strange,0.57,0.301,0,-16.159,0.0341,0.679,8.23e-05,0.0473,0.808,121.694,alt-rock
Radiohead,Let Down,0.352,0.674,9,-9.018,0.031,0.000124,0.12,0.18,0.145,102.489,alt-rock
Cream,Tales Of Brave Ulysses,0.523,0.411,0,-13.371,0.0749,0.0637,1.28e-06,0.047,0.277,105.659,alt-rock
Def Leppard,Rock Of Ages,0.706,0.785,11,-7.666,0.041,0.00802,0.0319,0.195,0.636,105.893,alt-rock
Rage Against The Machine,Sleep Now In the Fire,0.426,0.929,2,-6.729,0.0701,0.00162,0.105,0.0789,0.539,127.059,alt-rock
Scissor Sisters,I Don't Feel Like Dancin' - Radio Edit,0.711,0.924,7,-3.398,0.0282,0.0156,0.0,0.114,0.912,108.033,alt-rock
Ratt,Round and Round,0.628,0.934,11,-6.026,0.0527,0.00682,1.11e-05,0.0852,0.491,126.538,alt-rock
Def Leppard,Rocket,0.521,0.916,11,-6.822,0.0467,0.000249,0.00116,0.948,0.398,81.998,alt-rock
Small Faces,Itchycoo Park (Mono Version) - 2012 Remaster,0.613,0.555,9,-9.801,0.072,0.58,1.64e-06,0.119,0.556,127.267,alt-rock
Rainbow,Man On The Silver Mountain,0.594,0.77,7,-8.267,0.032,0.276,0.0176,0.0575,0.827,107.484,alt-rock
The Diamonds,Little Darlin',0.631,0.587,6,-11.402,0.042,0.536,0.29,0.333,0.664,152.851,alt-rock
Faith No More,Last Cup of Sorrow,0.494,0.911,4,-6.695,0.0628,3e-05,0.144,0.0441,0.547,76.848,alt-rock
The Moody Blues,The Voice,0.439,0.831,0,-8.116,0.045,0.076,0.000462,0.127,0.58,152.334,alt-rock
TV On The Radio,Wolf Like Me,0.363,0.787,7,-5.071,0.0429,0.00177,0.00446,0.531,0.201,175.919,alt-rock
New Order,Thieves like Us - 2011 Total Version,0.675,0.645,0,-7.648,0.0323,0.027,0.000172,0.0862,0.898,113.079,alt-rock
The Velvet Underground,Venus In Furs,0.225,0.618,8,-9.922,0.0331,0.00137,0.616,0.079,0.567,144.724,alt-rock
Dinosaur Jr.,Freak Scene,0.29,0.939,9,-3.519,0.0693,0.00756,0.00257,0.327,0.222,76.996,alt-rock
Singer's Edge Karaoke,Last Train Home (Originally Performed by Lostprophets) - Vocal Version,0.574,0.676,4,-10.635,0.0259,0.000645,1.48e-06,0.101,0.316,102.49,alt-rock
Guns N' Roses,Live And Let Die,0.262,0.777,11,-8.671,0.0632,0.0109,0.113,0.12,0.264,152.5,alt-rock
John Fogerty,Centerfield,0.777,0.948,7,-3.648,0.0479,0.127,5.36e-06,0.0708,0.973,142.359,alt-rock
The Replacements,Alex Chilton - 2008 Remaster,0.443,0.924,4,-7.384,0.0476,0.00242,3.73e-05,0.323,0.793,165.64,alt-rock
Bob Dylan,Jokerman,0.664,0.65,10,-11.168,0.0444,0.234,0.000282,0.16,0.775,134.986,alt-rock
Eagles,In the City - 2013 Remaster,0.448,0.55,9,-7.427,0.026,0.0226,0.205,0.0425,0.709,81.814,alt-rock
George Thorogood & The Destroyers,Who Do You Love?,0.524,0.91,4,-8.55,0.0628,0.00525,0.192,0.147,0.59,107.237,alt-rock
Canned Heat,Going Up The Country,0.653,0.239,5,-18.54,0.0453,0.806,0.0146,0.132,0.765,80.392,alt-rock
Rush,Time Stand Still,0.529,0.937,4,-7.832,0.046,0.043,0.0302,0.333,0.611,138.292,alt-rock
Blur,For Tomorrow - 2012 Remaster,0.631,0.84,2,-6.025,0.0285,0.0143,0.0,0.0712,0.653,95.849,alt-rock
Bruce Springsteen,Candy's Room,0.444,0.85,0,-7.833,0.0711,0.105,0.0181,0.549,0.492,150.401,alt-rock
Nick Cave & The Bad Seeds,Where the Wild Roses Grow - 2011 - Remaster,0.336,0.47,7,-10.541,0.0319,0.378,0.00332,0.0953,0.163,154.649,alt-rock
Roy Orbison,In Dreams,0.495,0.435,0,-9.99,0.0286,0.67,0.00038,0.13,0.71,108.189,alt-rock
The Who,My Wife,0.581,0.935,11,-6.779,0.0439,0.318,0.359,0.213,0.583,122.014,alt-rock
Shihad,My Mind's Sedate,0.478,0.958,10,-4.415,0.0634,8.56e-06,0.000166,0.076,0.222,99.095,alt-rock
Martha Reeves & The Vandellas,Nowhere To Run,0.606,0.815,2,-9.377,0.0485,0.104,0.00566,0.0515,0.877,129.34,alt-rock
10cc,Dreadlock Holiday,0.837,0.38,7,-13.341,0.064,0.541,0.00789,0.198,0.892,104.995,alt-rock
System Of A Down,Lonely Day,0.47,0.796,8,-3.277,0.0336,0.362,1.11e-06,0.133,0.215,113.108,alt-rock
Saliva,Click Click Boom,0.609,0.935,6,-2.941,0.0479,0.0029,0.000359,0.188,0.498,95.957,alt-rock
Europe,Carrie,0.455,0.487,7,-7.112,0.0264,0.114,2.43e-06,0.358,0.139,136.482,alt-rock
Stevie Ray Vaughan,Voodoo Child (Slight Return) - Live,0.174,0.929,10,-7.765,0.17,0.0612,0.109,0.978,0.244,179.461,alt-rock
Prince,If I Was Your Girlfriend,0.87,0.366,1,-18.998,0.0977,0.46,0.0139,0.071,0.819,96.74,alt-rock
Various Artists,Throw Your Arms Around Me,0.379,0.458,4,-8.101,0.0279,0.699,0.0,0.333,0.469,105.632,alt-rock
The Velvet Underground,Beginning To See The Light,0.591,0.562,2,-10.439,0.0291,0.118,0.702,0.157,0.776,124.401,alt-rock
Genesis,That's All - Remastered 2007,0.579,0.669,4,-8.704,0.0326,0.253,0.0257,0.0911,0.798,175.181,alt-rock
Dave Matthews Band,Ants Marching,0.637,0.856,2,-4.34,0.034,0.0187,1.99e-05,0.0157,0.846,113.32,alt-rock
Red Hot Chili Peppers,Blood Sugar Sex Magik,0.63,0.794,9,-10.2,0.0921,0.000282,0.429,0.298,0.836,146.574,alt-rock
Five For Fighting,Superman (It's Not Easy),0.382,0.416,0,-9.303,0.0302,0.0733,0.0,0.0719,0.125,102.089,alt-rock
TRUSTcompany,Downfall,0.31,0.94,6,-3.395,0.106,0.000106,2.21e-06,0.205,0.454,128.682,alt-rock
blink-182,First Date,0.579,0.928,0,-4.344,0.0411,0.000715,0.0,0.18,0.882,95.594,alt-rock
Godsmack,Serenity,0.684,0.659,9,-5.713,0.0234,0.027,5.9e-06,0.15,0.319,110.159,alt-rock
Linkin Park,Given Up,0.655,0.885,7,-4.116,0.0438,0.00117,0.000473,0.0448,0.938,100.088,alt-rock
Creedence Clearwater Revival,Travelin' Band,0.513,0.92,6,-6.664,0.0511,0.0166,0.0282,0.178,0.963,166.186,alt-rock
Eels,Novocaine For The Soul,0.393,0.765,6,-7.739,0.0649,0.0127,0.0272,0.0875,0.349,169.288,alt-rock
The Shangri-Las,Remember (Walkin' In The Sand),0.285,0.513,10,-9.61,0.0561,0.733,0.167,0.226,0.369,66.344,alt-rock
The Rolling Stones,Fool To Cry - Remastered 2009,0.444,0.454,5,-7.434,0.0419,0.892,0.0546,0.114,0.236,67.848,alt-rock
Elvis Presley,In the Ghetto,0.404,0.266,10,-16.688,0.0334,0.716,0.133,0.107,0.491,88.916,alt-rock
The Jesus and Mary Chain,Head On,0.561,0.871,0,-5.48,0.0314,0.000179,0.237,0.0925,0.517,138.978,alt-rock
Sepultura,Roots Bloody Roots,0.428,0.874,4,-6.664,0.128,0.000337,0.0419,0.311,0.261,119.708,alt-rock
"Earth, Wind & Fire",That's the Way of the World,0.586,0.552,1,-11.153,0.0488,0.593,0.00101,0.31,0.732,82.0,alt-rock
Richard Marx,Right Here Waiting,0.395,0.252,0,-13.589,0.0301,0.8,0.0,0.101,0.126,177.679,alt-rock
The Rolling Stones,Midnight Rambler - Live,0.306,0.957,4,-5.216,0.0984,0.108,0.0994,0.9,0.263,143.646,alt-rock
Deep Purple,Lazy,0.356,0.66,7,-11.451,0.0632,0.196,0.587,0.0934,0.409,187.837,alt-rock
earthtone9,You Again - Originally By Shihad,0.355,0.747,0,-6.168,0.0486,1.49e-05,0.52,0.163,0.446,141.6,alt-rock
Various Artists,Counting the Beat,0.414,0.673,9,-8.405,0.0678,0.202,0.0327,0.272,0.919,195.062,alt-rock
Alice Cooper,Elected,0.295,0.74,9,-13.073,0.0344,0.0604,0.142,0.193,0.506,135.299,alt-rock
The Standells,Dirty Water,0.62,0.781,9,-5.938,0.0379,0.181,0.0,0.187,0.864,144.707,alt-rock
The Who,The Seeker - Edit,0.318,0.657,2,-11.829,0.0358,0.101,3.01e-06,0.144,0.753,177.477,alt-rock
Studio Allstars,Sisters Are Doin' It For Themselves - (Tribute to The Eurythmics & Aretha Franklin),0.729,0.8,5,-8.523,0.0339,0.246,3.12e-05,0.102,0.961,138.156,alt-rock
Unwritten Law,Seein' Red,0.49,0.74,6,-5.369,0.0319,0.039,0.0,0.13,0.282,103.032,alt-rock
Crossfade,Cold,0.451,0.815,2,-5.55,0.0368,6.06e-05,0.0,0.27,0.618,147.974,alt-rock
Tears For Fears,Shout,0.511,0.942,0,-10.407,0.0429,0.174,1.87e-05,0.139,0.498,97.909,alt-rock
The Sheepdogs,I Don't Know - EP Version,0.574,0.644,2,-5.13,0.0268,0.0962,0.201,0.172,0.771,79.967,alt-rock
King Missile,Detachable Penis,0.693,0.767,2,-8.639,0.0329,0.0513,0.00279,0.0278,0.822,111.421,alt-rock
Gorillaz,DARE,0.76,0.891,11,-5.852,0.0372,0.0226,0.0868,0.298,0.966,120.265,alt-rock
Australian Crawl,Reckless (Don't Be So...) - Remastered,0.7,0.339,2,-10.101,0.0345,0.168,8.3e-05,0.0772,0.219,60.197,alt-rock
Megadeth,Holy Wars...The Punishment Due - Remastered 2004,0.325,0.985,11,-3.941,0.151,0.00177,0.107,0.351,0.221,125.307,alt-rock
Slash,Beautiful Dangerous (feat. Fergie),0.525,0.799,6,-5.387,0.0357,0.00523,0.0,0.262,0.53,98.139,alt-rock
FM,Phasors On Stun,0.482,0.847,4,-10.456,0.0528,0.0791,0.168,0.126,0.702,125.111,alt-rock
CMH Steel,Waiting for the Bus / Jesus Just Left for Chicago,0.425,0.493,0,-11.276,0.0306,0.0943,0.871,0.332,0.452,111.823,alt-rock
Fleetwood Mac,Sara - 2015 Remaster,0.735,0.534,10,-12.154,0.0295,0.423,0.00267,0.204,0.551,127.01,alt-rock
The Red Jumpsuit Apparatus,Face Down,0.545,0.932,7,-2.189,0.0399,0.000665,0.0,0.127,0.464,92.956,alt-rock
Radiohead,Optimistic,0.403,0.757,7,-9.931,0.0371,0.0496,0.848,0.305,0.573,157.957,alt-rock
Zero 7,Destiny,0.63,0.576,7,-9.046,0.0304,0.217,0.686,0.129,0.471,138.009,alt-rock
The Rolling Stones,Ain't Too Proud To Beg - Remastered,0.588,0.906,4,-4.613,0.0441,0.686,0.0973,0.425,0.889,128.641,alt-rock
Bruce Springsteen,Pink Cadillac - Single B-Side - 1984,0.636,0.924,9,-4.886,0.0758,0.367,0.0,0.243,0.72,129.337,alt-rock
Stone Temple Pilots,Lady Picture Show,0.343,0.936,4,-4.897,0.0386,0.0148,3.37e-05,0.113,0.522,156.905,alt-rock
The Band,The Shape I'm In - Remastered 2000,0.723,0.672,7,-7.875,0.0356,0.243,0.00373,0.299,0.958,128.079,alt-rock
Bob Seger,We've Got Tonight,0.52,0.451,11,-6.418,0.0269,0.271,0.000285,0.196,0.333,130.189,alt-rock
Primus,Jerry Was A Racecar Driver - 2013 Mix,0.518,0.966,6,-4.505,0.0987,0.135,0.303,0.317,0.725,122.582,alt-rock
"Crosby, Stills, Nash & Young",Teach Your Children,0.497,0.285,2,-14.537,0.0264,0.643,1.66e-05,0.389,0.667,154.7,alt-rock
Various Artists,Counting Blue Cars (Tell Me Your Thoughts On God),0.462,0.786,2,-4.361,0.028,0.0065,4.31e-05,0.27,0.388,100.353,alt-rock
Dashboard Confessional,Vindicated,0.513,0.811,3,-3.391,0.0348,0.0272,0.0,0.0855,0.323,86.012,alt-rock
Journey,Wheel in the Sky,0.441,0.745,2,-8.623,0.0741,0.084,2.22e-05,0.136,0.368,105.191,alt-rock
Snow Patrol,Run,0.371,0.64,9,-6.02,0.0301,0.000464,4.43e-05,0.168,0.197,74.537,alt-rock
The Dead Milkmen,Punk Rock Girl,0.557,0.699,2,-11.625,0.0453,0.00793,0.0,0.536,0.887,129.492,alt-rock
I Am Giant,Neon Sunrise - Bonus Track,0.41,0.918,5,-5.916,0.0358,2.26e-05,0.0138,0.207,0.582,163.619,alt-rock
Bon Jovi,Bed Of Roses,0.309,0.596,5,-5.599,0.0293,0.101,0.0,0.21,0.161,164.587,alt-rock
Billy Joel,Only the Good Die Young,0.579,0.872,0,-6.126,0.159,0.159,0.0,0.0935,0.761,76.214,alt-rock
HIM,Poison Girl,0.521,0.831,6,-4.783,0.0428,0.019,1.7e-06,0.0566,0.52,123.663,alt-rock
Jimi Hendrix,Are You Experienced?,0.403,0.763,8,-6.727,0.118,0.0277,0.00985,0.148,0.455,82.812,alt-rock
KISS,I Love It Loud,0.414,0.897,5,-6.406,0.0538,0.000402,1.85e-06,0.0809,0.263,170.916,alt-rock
Rise Against,The Good Left Undone,0.179,0.98,1,-3.791,0.168,0.000187,0.0,0.121,0.521,196.983,alt-rock
Smokey Robinson & The Miracles,Shop Around,0.549,0.703,7,-4.923,0.0291,0.692,0.0,0.675,0.908,132.082,alt-rock
PJ Harvey,Rid Of Me,0.715,0.0885,9,-20.682,0.0521,0.00485,0.00694,0.155,0.544,125.383,alt-rock
Queen,A Kind Of Magic - Remastered 2011,0.67,0.776,9,-5.874,0.0356,0.0184,0.00294,0.128,0.703,130.128,alt-rock
Styx,Fooling Yourself (The Angry Young Man),0.373,0.447,2,-13.646,0.0289,0.119,0.000243,0.115,0.516,102.855,alt-rock
Deep Purple,Kentucky Woman,0.343,0.396,0,-10.395,0.0363,0.035,0.00364,0.189,0.314,171.411,alt-rock
The Chiffons,One Fine Day,0.251,0.868,1,-2.685,0.128,0.488,7.34e-06,0.814,0.599,177.13,alt-rock
Mudvayne,Happy?,0.546,0.971,5,-2.661,0.0965,0.000823,2.11e-05,0.275,0.383,100.078,alt-rock
Lucinda Williams,Changed the Locks,0.52,0.717,9,-6.003,0.0351,0.227,0.0,0.113,0.412,139.501,alt-rock
Elvis Costello,Veronica,0.63,0.757,0,-6.731,0.0359,0.128,4.9e-05,0.355,0.737,153.989,alt-rock
Aerosmith,Mama Kin,0.426,0.751,4,-10.91,0.0403,0.122,0.00144,0.271,0.889,153.359,alt-rock
Yes,"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster",0.222,0.597,5,-10.924,0.056,0.265,0.155,0.411,0.251,80.654,alt-rock
Incubus,Talk Shows on Mute,0.723,0.584,0,-5.729,0.0259,0.141,0.0,0.0917,0.62,114.072,alt-rock
Orgy,Blue Monday,0.589,0.696,8,-8.109,0.034,8.65e-05,3.43e-05,0.0779,0.938,129.833,alt-rock
James Carr,The Dark End of the Street,0.508,0.397,7,-8.535,0.0273,0.797,0.0545,0.11,0.364,75.168,alt-rock
U.S.A. For Africa,We Are The World,0.528,0.447,4,-15.255,0.0435,0.189,0.0,0.0745,0.292,72.58,alt-rock
Garbage,When I Grow Up,0.581,0.841,7,-7.183,0.0386,0.000772,2.52e-05,0.754,0.742,139.873,alt-rock
Classic Sounds,Love Rollercoaster,0.751,0.88,2,-5.853,0.028,0.283,0.0117,0.129,0.614,117.062,alt-rock
The Cars,You Might Think,0.728,0.855,2,-6.031,0.0333,0.109,0.000576,0.113,0.971,133.887,alt-rock
The Youngbloods,Get Together,0.542,0.492,2,-11.927,0.0256,0.467,0.00105,0.0863,0.58,103.064,alt-rock
Tori Amos,Cornflake Girl,0.631,0.638,7,-8.958,0.0274,0.4,0.000516,0.216,0.812,133.739,alt-rock
I Am Giant,And We'll Defy,0.551,0.714,4,-6.448,0.0336,0.00452,0.0029,0.261,0.193,125.812,alt-rock
George Harrison,Got My Mind Set On You - Remastered 2004,0.767,0.854,4,-6.947,0.0426,0.465,2.03e-06,0.485,0.963,149.206,alt-rock
Thunderclap Newman,Something In The Air,0.506,0.402,8,-11.743,0.0256,0.307,1.25e-05,0.0814,0.54,94.221,alt-rock
Fleetwood Mac,Say You Love Me,0.723,0.596,9,-13.436,0.0308,0.0187,0.00513,0.16,0.962,128.068,alt-rock
Rod Stewart,Da Ya Think I'm Sexy?,0.715,0.689,2,-8.065,0.029,0.0143,0.000192,0.111,0.852,111.504,alt-rock
Boston,Smokin',0.197,0.798,2,-7.334,0.0656,0.000545,0.414,0.187,0.525,175.068,alt-rock
Tom Petty and the Heartbreakers,Don't Come Around Here No More,0.502,0.54,10,-15.93,0.0318,0.00105,0.00849,0.243,0.922,160.531,alt-rock
Nine Inch Nails,Only,0.7,0.807,9,-5.711,0.029,0.000576,0.00488,0.0996,0.963,112.15,alt-rock
Limp Bizkit,Rollin' (Air Raid Vehicle),0.603,0.933,1,-3.358,0.171,0.00591,0.0,0.206,0.709,96.306,alt-rock
Incubus,Are You In?,0.526,0.587,2,-8.733,0.039,0.24,0.243,0.886,0.364,93.986,alt-rock
Sublime,"April 29, 1992 (Miami)",0.752,0.688,2,-5.588,0.129,0.0145,4.43e-05,0.185,0.72,78.937,alt-rock
Avenged Sevenfold,Bat Country,0.541,0.968,0,-4.129,0.0396,0.000248,8.28e-06,0.423,0.505,125.04,alt-rock
Bruce Springsteen,The Promised Land,0.568,0.793,7,-6.575,0.0339,0.0152,0.000737,0.134,0.821,115.11,alt-rock
James Blunt,You're Beautiful,0.675,0.479,0,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,alt-rock
Pink Floyd,The Great Gig in the Sky,0.275,0.216,5,-13.818,0.0345,0.768,0.897,0.0832,0.181,116.388,alt-rock
Cole Porter,Anything Goes,0.617,0.438,7,-8.707,0.17,0.682,0.00218,0.28,0.725,98.823,alt-rock
The Supremes,Stop! In The Name Of Love - Single Version,0.612,0.444,0,-12.752,0.0293,0.531,0.0,0.126,0.503,114.961,alt-rock
The Sonics,Psycho,0.567,0.643,0,-11.354,0.0367,0.671,0.0,0.588,0.717,140.543,alt-rock
The Clash,This is Radio Clash,0.918,0.764,11,-5.548,0.102,0.0423,0.000338,0.134,0.752,122.351,alt-rock
Chevelle,I Get It,0.506,0.963,3,-3.805,0.0709,9.2e-05,0.000424,0.147,0.352,124.462,alt-rock
Rise Against,Ready To Fall,0.446,0.985,1,-3.784,0.0719,9.33e-05,0.000342,0.0787,0.496,128.573,alt-rock
Dire Straits,Romeo and Juliet,0.602,0.574,5,-8.169,0.0278,0.437,0.00415,0.0751,0.486,87.318,alt-rock
Trapt,Still Frame,0.445,0.932,4,-4.739,0.316,0.000866,0.0,0.108,0.51,113.945,alt-rock
Shinedown,Diamond Eyes (Boom-Lay Boom-Lay Boom),0.516,0.884,2,-3.706,0.0448,0.000254,0.000347,0.0478,0.448,107.96,alt-rock
Everclear,I Will Buy You A New Life,0.518,0.87,0,-4.933,0.098,0.0351,0.00707,0.255,0.661,169.665,alt-rock
Randy Newman,Sail Away - Remastered,0.341,0.161,5,-12.324,0.0326,0.936,0.000488,0.12,0.0961,134.75,alt-rock
TOTO,Africa,0.671,0.373,9,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,alt-rock
The Living End,Raise The Alarm,0.37,0.975,2,-4.255,0.107,3.03e-05,0.000813,0.0475,0.407,160.186,alt-rock
Of Monsters and Men,Little Talks,0.445,0.757,1,-5.177,0.0322,0.0206,0.0,0.146,0.421,102.878,alt-rock
Golden Earring,Twilight Zone,0.656,0.756,11,-6.516,0.0399,0.00785,3.49e-05,0.0927,0.542,118.56,alt-rock
The Smiths,Cemetry Gates - 2011 Remaster,0.55,0.796,7,-7.007,0.0306,0.151,0.0,0.222,0.622,105.354,alt-rock
Todd Rundgren,Hello It's Me,0.578,0.848,5,-6.842,0.0261,0.0563,0.00426,0.0963,0.779,87.246,alt-rock
AWOLNATION,Not Your Fault,0.597,0.733,5,-5.238,0.0348,0.000775,0.0,0.0612,0.639,144.028,alt-rock
Bush,Swallowed - Remastered,0.253,0.565,1,-6.116,0.0368,0.0014,0.000225,0.272,0.127,179.492,alt-rock
Joe Jackson,Is She Really Going Out With Him?,0.874,0.318,3,-6.869,0.0454,0.0353,1.69e-05,0.217,0.919,116.117,alt-rock
Trooper,We're Here For A Good Time (Not A Long Time),0.756,0.616,9,-11.866,0.0568,0.471,1.05e-06,0.0915,0.977,122.199,alt-rock
Saving Abel,Addicted,0.512,0.864,7,-4.146,0.0338,0.000821,0.0,0.0982,0.527,138.018,alt-rock
Zodiac Mindwarp & The Love Reaction,Prime Mover (Re-Recorded Version),0.459,0.933,0,-3.903,0.0882,0.0189,9.74e-06,0.15,0.455,152.043,alt-rock
Stroke 9,Little Black Backpack (Remastered),0.452,0.85,7,-4.918,0.0503,0.000136,0.0,0.0988,0.324,118.1,alt-rock
Red Hot Chili Peppers,Look Around,0.56,0.953,7,-2.372,0.0851,0.005,1.6e-05,0.226,0.519,111.911,alt-rock
Seether,No Resolution,0.552,0.894,5,-4.637,0.0299,8.86e-06,0.0115,0.0904,0.699,121.979,alt-rock
Arcade Fire,No Cars Go,0.324,0.772,1,-6.95,0.0371,0.000609,0.173,0.12,0.291,135.737,alt-rock
Opshop,No Ordinary Thing,0.508,0.632,4,-4.873,0.0284,0.0206,0.0152,0.133,0.182,76.991,alt-rock
Mission Of Burma,That's When I Reach For My Revolver,0.3,0.915,4,-5.691,0.049,0.00194,0.000338,0.147,0.51,147.119,alt-rock
Creed,What's This Life For,0.393,0.78,7,-4.771,0.0317,0.00966,1.37e-05,0.105,0.204,141.772,alt-rock
Willie Nelson,Crazy,0.509,0.194,0,-12.424,0.0289,0.849,9.82e-05,0.0931,0.296,99.488,alt-rock
Dead Kennedys,Holiday in Cambodia,0.133,0.927,7,-5.371,0.0741,0.00344,0.00044,0.0915,0.5,197.708,alt-rock
Styx,Blue Collar Man (Long Nights),0.445,0.598,2,-11.264,0.0363,0.0112,0.0,0.057,0.778,124.25,alt-rock
Black Sabbath,Changes - 2013 Remaster,0.29,0.215,0,-12.762,0.0327,0.0321,1.66e-05,0.106,0.191,80.814,alt-rock
Rush,Lakeside Park - Live,0.5,0.611,7,-11.639,0.0354,0.106,0.000565,0.112,0.396,94.993,alt-rock
Led Zeppelin,The Rain Song - Remaster,0.336,0.318,0,-11.412,0.0263,0.317,0.0716,0.111,0.24,79.66,alt-rock
Grateful Dead,Scarlet Begonias - 2013 Remaster,0.537,0.559,4,-12.224,0.0315,0.314,0.000795,0.116,0.918,167.758,alt-rock
"Blood, Sweat & Tears",Spinning Wheel,0.695,0.503,7,-9.313,0.0605,0.315,2.47e-05,0.261,0.542,96.818,alt-rock
Kenny Loggins,"Danger Zone - From ""Top Gun"" Original Soundtrack",0.544,0.897,3,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17,alt-rock
Van Halen,I'll Wait - 2015 Remaster,0.626,0.852,2,-4.584,0.0359,0.232,4.12e-06,0.501,0.864,115.397,alt-rock
Rush,The Trees,0.445,0.721,2,-10.048,0.0392,0.175,0.00404,0.186,0.328,135.742,alt-rock
Bruce Springsteen,Radio Nowhere,0.395,0.955,9,-3.799,0.0488,0.00962,0.0,0.36,0.658,140.219,alt-rock
Journey,Separate Ways (Worlds Apart),0.451,0.962,0,-3.947,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,alt-rock
Beck,Jack-Ass,0.714,0.555,2,-6.664,0.0287,0.163,0.0,0.0942,0.831,106.516,alt-rock
Wolfmother,Joker & The Thief - Final Hour Mix,0.491,0.592,7,-8.804,0.0414,0.000236,0.0511,0.324,0.21,84.981,alt-rock
Ben Harper And The Innocent Criminals,Please Bleed,0.646,0.558,2,-9.676,0.0335,0.0281,0.0842,0.118,0.458,121.895,alt-rock
the feelers,Larger Than Life - Sin Sing Studio Mix,0.558,0.938,2,-5.013,0.0949,0.00573,0.0,0.131,0.752,169.99,alt-rock
Ozzy Osbourne,Shot in the Dark,0.581,0.791,6,-7.262,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,alt-rock
Stone Temple Pilots,Between the Lines,0.46,0.934,0,-4.566,0.047,2.56e-05,8.94e-06,0.376,0.779,137.022,alt-rock
White Lion,When the Children Cry,0.493,0.242,4,-13.593,0.0291,0.68,0.0,0.071,0.345,130.258,alt-rock
The Replacements,I Will Dare,0.456,0.857,7,-5.854,0.0833,0.00157,0.0344,0.333,0.559,167.709,alt-rock
Chuck Berry,No Particular Place To Go,0.596,0.791,7,-8.88,0.0446,0.425,0.000295,0.0886,0.98,129.237,alt-rock
Various Artists,Only Wanna Be with You,0.49,0.873,6,-5.861,0.0355,0.105,5.17e-06,0.118,0.513,103.271,alt-rock
INXS,Original Sin,0.689,0.629,9,-7.262,0.0384,0.0129,0.000213,0.0579,0.744,131.536,alt-rock
Van Morrison,Sweet Thing - 1999 Remaster,0.518,0.385,4,-14.636,0.0339,0.23,0.000226,0.124,0.712,86.604,alt-rock
World Party,Ship of Fools,0.638,0.869,0,-4.867,0.0308,0.082,0.000995,0.517,0.851,116.288,alt-rock
Beastie Boys,Ch-Check It Out,0.795,0.899,1,-7.02,0.292,0.0766,0.0,0.0852,0.694,115.062,alt-rock
Allman Brothers Band,Dreams,0.36,0.426,7,-14.435,0.0304,0.604,0.7,0.127,0.54,128.901,alt-rock
Pantera,Walk,0.43,0.704,1,-8.008,0.0804,0.000155,0.00221,0.0933,0.703,118.242,alt-rock
The Replacements,Can't Hardly Wait - 2008 Remaster,0.538,0.814,2,-7.06,0.0526,0.03,2.48e-06,0.114,0.58,141.256,alt-rock
Muse,Resistance,0.467,0.774,9,-6.569,0.0485,0.0616,0.289,0.108,0.0916,135.006,alt-rock
